case_id,review_case_kind,pattern_type,economic_asset_class,instrument_id,symbol,date_range_start,date_range_end,source_bar_hash,candidate_id,anchor_date,calibration_version,parameter_set_id,parameter_hash,visualization_path,identity_material_hash,identity_status
review_2e436aff320ee2a48496,DETECTED_CANDIDATE,ascending_triangle,EQUITY,IBKR:265598,AAPL,2020-01-29,2020-02-18,39dc4404462f5e33314b83ea2dce5abb63d5a0fcb6dd05441713e7b897bffd4b,pat_e5e9d5bb04f7fe9704b8,,wp-us-ascending-triangle-development-v1,cal_b8616363e4acd36e4071,b8616363e4acd36e4071f8813d1c643406fbfd805b37a4b078eb58e04636dc1e,reports/pattern-review/review_2e436aff320ee2a48496.svg,2e436aff320ee2a48496f14d694e9df94277b2d7086c2ca06a9820aa7f0d6d5d,VALID
review_2e6bfd15d67d4f8b31ed,NEGATIVE_CONTROL_NO_DETECTION,rectangle,FIXED_INCOME,IBKR:15547841,TLT,,2019-09-30,a229b6091c9f4ead506256015da1ed32851f3f614c96a40a520056ec3dd233b7,,2019-09-30,wp-us-rectangle-development-v1,cal_ce0e5f3208eb2439d077,ce0e5f3208eb2439d0777939c406e75ed3eb37fa6bf523aa005adaa9aee9a534,reports/pattern-review/review_2e6bfd15d67d4f8b31ed.svg,2e6bfd15d67d4f8b31ed9ce7892d35b026141d732e87945ef1399b36d15e66d3,VALID
review_30557d7e0fa7c76ab97b,DETECTED_CANDIDATE,rectangle,FIXED_INCOME,IBKR:15547851,SHY,2019-08-15,2020-02-25,bfc92f973086d1fb2efc5ff5ee1eebbcae96eaa5b569edbfb1ae74ab3ed59c36,pat_f511bdbb3e359bde9610,,wp-us-rectangle-development-v1,cal_ce0e5f3208eb2439d077,ce0e5f3208eb2439d0777939c406e75ed3eb37fa6bf523aa005adaa9aee9a534,reports/pattern-review/review_30557d7e0fa7c76ab97b.svg,30557d7e0fa7c76ab97b14e85de9adfcd42b92427504a0ed19ddebe4e4f78672,VALID
review_37281afa17f3be770b56,DETECTED_CANDIDATE,ascending_triangle,FIXED_INCOME,IBKR:15547844,IEF,2019-01-03,2019-02-27,e0a7f9d815856bfccd52d7a79efe79f4e6369ddf89baf5c778eea2fed08b8aed,pat_6196b8abdeeb3ede501f,,wp-us-ascending-triangle-development-v1,cal_b85671a45db076094e37,b85671a45db076094e37ddb7ec688a59bc71f773ec491237f5780a0cf8c58422,reports/pattern-review/review_37281afa17f3be770b56.svg,37281afa17f3be770b56078a33bbe425bb6551807ea7d20fd73ebb64bcf31071,VALID
review_3744a0c94c5e032987e3,DETECTED_CANDIDATE,breakout,FIXED_INCOME,IBKR:15547841,TLT,2019-03-22,2019-04-03,a229b6091c9f4ead506256015da1ed32851f3f614c96a40a520056ec3dd233b7,pat_853af93b134385c9da1b,,wp-us-level-break-development-v1,cal_77204b512761817cbc2a,77204b512761817cbc2a5e3b3a5e956efac13fe9605639d3f35637422c7d44f6,reports/pattern-review/review_3744a0c94c5e032987e3.svg,3744a0c94c5e032987e3fc87c6557c6601b3b795243c802fbf4f81f10fa50814,VALID
review_38365f55a6350ff47c95,NEGATIVE_CONTROL_NO_DETECTION,ascending_triangle,FIXED_INCOME,IBKR:15547816,LQD,,2019-09-30,23a3c496b6730bdf16647f28aeb4452e5de3f814dd710a53bd5ded504fc05796,,2019-09-30,wp-us-ascending-triangle-development-v1,cal_b85671a45db076094e37,b85671a45db076094e37ddb7ec688a59bc71f773ec491237f5780a0cf8c58422,reports/pattern-review/review_38365f55a6350ff47c95.svg,38365f55a6350ff47c95fcbdfe9e3ebb05b8825f88c05df8019a0a2fb52cc4b0,VALID
review_3926a42cc144e0aa6df2,DETECTED_CANDIDATE,breakout,FIXED_INCOME,IBKR:15547816,LQD,2019-03-20,2020-03-17,23a3c496b6730bdf16647f28aeb4452e5de3f814dd710a53bd5ded504fc05796,pat_1e46134fddb92527cddb,,wp-us-level-break-development-v1,cal_77204b512761817cbc2a,77204b512761817cbc2a5e3b3a5e956efac13fe9605639d3f35637422c7d44f6,reports/pattern-review/review_3926a42cc144e0aa6df2.svg,3926a42cc144e0aa6df2f6714305fbed577605e61cf12e10682e717410ea8101,VALID
review_3c570d826c1c5c669d8d,NEGATIVE_CONTROL_NO_DETECTION,double_top,EQUITY,IBKR:1520593,JPM,,2020-09-30,7b36de1a2f59c3ff6975e2492375bc797e750a4e98cb9e864b9118c34ea04e34,,2020-09-30,wp-us-double-reversal-development-v1,cal_c9e225163e06a8295dc2,c9e225163e06a8295dc2be5096262705ab0d8523d6c3523773c6d9cd8a22da8f,reports/pattern-review/review_3c570d826c1c5c669d8d.svg,3c570d826c1c5c669d8d1a3beeca3465dda8c05d7333a5a92f5bb36931f965b2,VALID
review_3cc0adb16f385c8a48c7,NEGATIVE_CONTROL_NO_DETECTION,breakout,FIXED_INCOME,IBKR:25985141,AGG,,2020-09-30,34021b139326d8c048e4d41ba263914a7510dc01cf11c44827aca2affa3ddfdb,,2020-09-30,wp-us-level-break-development-v1,cal_77204b512761817cbc2a,77204b512761817cbc2a5e3b3a5e956efac13fe9605639d3f35637422c7d44f6,reports/pattern-review/review_3cc0adb16f385c8a48c7.svg,3cc0adb16f385c8a48c78cc65fa08b7ef32bdb597f23cf2baa10774a02ffc003,VALID
review_3ed69893508aa67ec4d8,DETECTED_CANDIDATE,ascending_triangle,EQUITY,IBKR:9579970,IWM,2019-05-16,2019-07-17,87f2c8af6f37027fd24d5cfb2827f3e8ee87bbacb53e878269c11148683c3090,pat_1b262e165d60ee2c22e7,,wp-us-ascending-triangle-development-v1,cal_b8616363e4acd36e4071,b8616363e4acd36e4071f8813d1c643406fbfd805b37a4b078eb58e04636dc1e,reports/pattern-review/review_3ed69893508aa67ec4d8.svg,3ed69893508aa67ec4d8adfba3fb1558b2e566871beee707becde98652bacf52,VALID
